,fechas,etiquetas
0,2002-02-21,2.0
1,2014-08-19,2.0
2,2015-11-13,2.0
3,2014-08-28,2.0
4,2004-02-16,2.0
5,2004-02-11,2.0
6,2002-02-20,2.0
7,2009-11-04,2.0
8,2002-02-21,2.0
9,2004-02-04,2.0
10,2014-08-26,2.0
11,2011-04-01,2.0
12,2014-08-29,2.0
13,2011-04-01,2.0
14,2004-02-02,2.0
15,2010-11-26,2.0
16,2011-04-04,2.0
17,2004-02-03,2.0
18,2006-03-03,2.0
19,2018-10-31,2.0
20,2014-08-25,2.0
21,2002-03-01,2.0
22,2004-02-02,2.0
23,2009-01-23,2.0
24,2009-05-13,2.0
25,2008-07-31,2.0
26,2002-02-15,2.0
27,2011-04-04,2.0
28,2014-08-22,2.0
29,2006-03-06,2.0
30,2002-02-19,2.0
31,2004-02-09,2.0
32,2005-09-19,2.0
33,2015-10-13,2.0
34,2014-06-02,2.0
35,2019-03-27,2.0
16,2014-05-21,2.0
27,2009-11-03,2.0
79,2009-10-30,2.0
141,2006-03-10,2.0
219,2009-10-30,2.0
220,2019-03-26,2.0
299,2014-08-15,2.0
312,2002-03-01,2.0
341,2014-02-12,2.0
391,2006-03-08,2.0
403,2011-04-01,2.0
408,2011-03-29,2.0
466,2010-11-23,2.0
474,2008-08-04,2.0
478,2011-03-28,2.0
552,2010-11-26,2.0
577,2006-03-07,2.0
590,2006-03-03,2.0
672,2010-11-26,2.0
723,2006-03-14,2.0
730,2004-02-06,2.0
745,2011-03-28,2.0
769,2004-02-10,2.0
813,2014-08-18,2.0
851,2014-05-29,2.0
869,2006-03-03,2.0
893,2014-05-27,2.0
903,2014-08-21,2.0
948,2001-01-29,2.0
969,2015-11-13,2.0
1054,2002-02-27,2.0
1068,2006-03-10,2.0
1071,2014-08-27,2.0
1124,2018-10-29,2.0
1140,2002-02-19,2.0
1142,2011-03-31,2.0
