fecha;ABI BB Equity;AD NA Equity;ADS GY Equity;ADYEN NA Equity;AI FP Equity;AIR FP Equity;ALV GY Equity;ASML NA Equity;BAS GY Equity;BAYN GY Equity;BBVA SQ Equity;BMW GY Equity;BN FP Equity;BNP FP Equity;CRH ID Equity;CS FP Equity;DAI GY Equity;DB1 GY Equity;DG FP Equity;DPW GY Equity;DTE GY Equity;EL FP Equity;ENEL IM Equity;ENI IM Equity;FLTR ID Equity;IBE SQ Equity;IFX GY Equity;INGA NA Equity;ISP IM Equity;ITX SQ Equity;KER FP Equity;KNEBV FH Equity;LIN GY Equity;MC FP Equity;MUV2 GY Equity;OR FP Equity;PHIA NA Equity;PRX NA Equity;RI FP Equity;SAF FP Equity;SAN FP Equity;SAN SQ Equity;SAP GY Equity;SIE GY Equity;STLA IM Equity;SU FP Equity;TTE FP Equity;UMG NA Equity;VNA GY Equity;VOW3 GY Equity
07/07/2021;59.78;25.62;318.65;2115;148.5;109.82;212.1;583.7;66.4;50.97;5.22;86.3;60.5;51.18;42.62;21.615;72.4;148.65;91.8;58.66;18.002;155.18;8.064;10.17;156.1;10.68;33.455;10.874;23.035;29.7;737.8;70.06;246.85;660.4;232.1;376.5;40.23;80.14;184.8;115.96;86.8;3.145;124.5;133.98;16.592;136.62;37.47;#N/A N/A;57.02;206.25
08/07/2021;58.67;25.335;313.3;2074.5;145.86;109.02;207.75;567.3;65.74;50.6;5.049;84.47;59.28;49.715;41.5;21.285;70.73;145;90.5;57.56;17.792;152.8;7.883;9.963;149.75;10.21;32.525;10.592;2.236;29.15;712.9;69.28;241.7;639.2;225.55;365;38.995;76.89;180.2;117.2;85.78;30.575;123.18;131.02;16.036;133.16;37.1;#N/A N/A;56.62;200.5
09/07/2021;58.88;25.34;318.45;2118.5;147.92;112.76;212.1;583.1;68.01;50.83;5.227;87.68;59.46;50.93;42.4;21.815;72.89;144.45;91.74;58.27;18;154.34;7.924;10.08;150.8;10.28;33.11;10.876;2.284;29.73;731.2;69.76;246.7;662.4;230.85;371.8;39.06;77.36;180.85;119.92;87.22;31.295;124.72;132.84;16.486;137.02;37.45;#N/A N/A;57.62;212.35
12/07/2021;58.57;25.475;321.1;2155.5;149.64;112.2;212.1;591.7;68.1;50.67;5.258;88.8;59.68;51.04;42.2;21.825;73.26;146.5;92.31;58.77;18.272;156.32;8.062;10.094;147.5;10.415;32.92;10.838;23.055;29.76;735.2;70;247.5;666;231.85;375.35;39.525;77.69;182.4;116.68;88.8;3.139;125.78;133.54;16.486;138.24;37.47;#N/A N/A;58.52;218.15
13/07/2021;58.83;25.515;321.2;2173.5;150.1;111.24;212.2;599.6;67.9;50.65;5.148;88.18;59.72;50.83;42.14;21.77;73.01;146.7;91.41;58.43;18.416;157.38;8.058;10.004;146.3;10.39;32.995;10.662;2.27;29.32;743.6;70.42;245.8;670.7;230.85;375.5;39.225;79.4;183.6;114.74;88.73;30.835;127.26;134.7;16.248;138.42;37.19;#N/A N/A;58.44;215.25
14/07/2021;58.77;25.545;322.7;2191;150.02;110.98;211.2;609.1;67.92;51;5.17;88.51;59.67;51.14;42.01;21.815;73.5;145.05;90.03;58.62;18.312;157.48;8.024;10.024;145.7;10.3;33.505;10.734;22.845;29.29;750.6;70.12;245.9;671.6;230.5;376.5;39.255;80.25;183.75;115.26;88.67;3.104;127;133.56;16.24;136.78;37.105;#N/A N/A;58;215.05
15/07/2021;58.2;25.325;315.85;2179.5;149.66;110.4;211;599.5;67.4;50.53;5.196;87.28;58.84;50.72;41.56;21.765;73.18;143.85;88.58;58.24;18.22;154.04;7.932;9.91;141.9;10.23;32.665;10.692;2.256;27.7;739.8;69.36;247.7;663.2;229.1;373.6;39.15;80.49;183.15;112.96;87.15;3.121;125.4;130.24;16.008;136.04;36.645;#N/A N/A;57.82;210.35
16/07/2021;58.32;25.605;311.9;2197.5;148.96;110.64;208.95;589.3;67.01;50.67;5.09;85.5;59.17;49.88;41.67;21.62;71.72;143.6;89.19;58.09;18.344;152.24;8.01;9.832;141.6;10.295;31.75;10.456;2.232;28.09;731.8;69.44;246.65;654.3;228.1;374.6;39.055;81.12;184.2;113.54;87.87;3.038;125.46;129.4;15.686;134.2;36.285;#N/A N/A;58.52;207.65
19/07/2021;56;25.14;305.45;2149;146.86;103.58;201.1;577.3;64.54;49.395;4.914;82.44;58.46;47.79;39.84;21;69.63;142.65;85.68;57.13;17.542;148.58;7.604;9.454;137.7;10.13;30.81;10.08;21.375;27.5;711.8;68.68;241.5;639.9;216.8;373.15;38.935;80.07;180.25;107.84;86.77;29.345;122.76;126.08;15.122;131.66;34.89;#N/A N/A;57.9;201.7
20/07/2021;56.6;25.15;305.4;2127.5;147.74;106;203.35;580.9;65.4;50.21;5.026;83;58.51;48.695;40.58;21.21;70.07;142.6;86.06;57.56;17.534;149.64;7.613;9.503;138;10.14;30.965;10.26;2.179;27.77;719.2;70.82;246.15;645.1;220.45;376.7;39.08;79.09;181.15;110.88;87.09;29.545;121.48;127.04;15.16;133.34;34.865;#N/A N/A;57.66;203.7
