date;VIX;USSW2;USSW5;USSW10;USGGBE10;XAU;BDIY;USCRWTIC;USD;EUSA2;EUSA5;EUSA10;SP_VALUE;SP_VALUE_TR;SP_QUALITY;SP_QUALITY_TR;SP_GROWTH;SP_GROWTH_TR;SP;SP_TR
01/01/2015;19.2;0.9;1.772;2.285;16.929;1181.98;782;53.27;90.276;0.175;0.357;0.812;927.97;4.112.915;987.557;1.445.989;1121.62;2653.22;2058.9;3769.44
02/01/2015;17.79;0.893;17.341;22.238;17.087;1188.39;771;52.69;91.08;0.165;0.342;0.7594;928.09;4.114.345;986.296;1.444.143;1120.74;2651.33;2058.2;3768.68
05/01/2015;19.92;0.8855;1.694;2.143;16.412;1204.86;761;50.04;91.378;0.167;0.345;0.776;908.45;4.027.505;969.406;1.419.444;1103.27;2610.17;2020.58;3700.03
06/01/2015;21.12;0.851;16.075;20.458;1.554;1218.58;758;47.93;91.499;0.165;0.3349;0.724;900.2;3.990.945;960.905;1.406.997;1093.65;2587.42;2002.61;3667.14
07/01/2015;19.31;0.8428;16.184;20.832;15.832;1211.41;744;48.65;91.89;0.165;0.3435;0.7498;908.41;4.029.718;974.304;1.426.766;1108.9;2623.66;2025.9;3710.94
08/01/2015;17.01;0.8405;1.637;21.385;16.205;1208.79;724;48.79;92.368;0.171;0.35;0.7847;924.3;4.100.283;993.038;1.454.199;1129.15;2671.62;2062.14;3777.4
09/01/2015;17.55;0.7885;1.566;2.066;16.125;1223.25;709;48.36;91.935;0.164;0.3455;0.7668;915.13;4.059.617;983.639;1.440.436;1121.24;2652.9;2044.81;3745.67
12/01/2015;19.6;0.7758;15.245;20.245;15.641;1233.31;723;46.07;91.983;0.163;0.3333;0.739;907.17;4024.32;974.445;1.426.972;1112.78;2632.9;2028.26;3715.36
13/01/2015;20.56;0.7623;1.511;2.013;15.332;1230.64;762;45.89;92.31;0.161;0.334;0.749;903.79;4009.74;969.198;1.419.754;1111.08;2629.14;2023.03;3706.15
14/01/2015;21.48;0.7233;14.612;1.969;15.686;1228.72;757;48.48;92.161;0.153;0.316;0.716;896.94;3979.44;964.019;1.412.282;1106.42;2618.21;2011.27;3684.72
15/01/2015;22.39;0.6455;1.314;1.833;15.672;1262.75;749;46.25;92.352;0.127;0.2827;0.702;889.49;3.946.587;952.753;1.395.777;1095.24;2591.75;1992.67;3650.74
16/01/2015;20.95;0.724;1.455;1.954;15.982;1280.45;741;48.69;92.52;0.117;0.2859;0.715;901.79;4.001.147;966.256;1.415.559;1109.54;2625.65;2019.42;3699.79
19/01/2015;20.95;0.701;14.541;1.953;15.982;1275.65;739;48.69;92.52;0.115;0.2785;0.7005;901.79;4.001.147;966.256;1.415.559;1109.54;2625.65;2019.42;3699.79
20/01/2015;19.89;0.7368;1.436;19.155;15.966;1295.32;753;46.39;93.046;0.127;0.2995;0.715;901.84;4.001.437;969.235;1.419.923;1112.76;2633.43;2022.55;3705.64
21/01/2015;18.85;0.7493;1.504;2.006;16.169;1293.09;770;47.28;92.904;0.133;0.332;0.799;906.77;4023.78;971.088;1422.79;1117.29;2644.45;2032.12;3723.62
22/01/2015;16.4;0.769;15.225;19.995;16.423;1302.25;751;45.99;94.077;0.12;0.3086;0.7538;919.49;4.080.281;985.779;1.444.323;1135.61;2687.83;2063.15;3780.51
23/01/2015;16.66;0.746;1.473;19.397;15.984;1294.08;720;45.22;94.762;0.1063;0.2736;0.6835;911.36;4.044.168;980.397;1.436.438;1132.85;2681.31;2051.82;3759.76
26/01/2015;15.52;0.771;15.025;1.969;1.611;1281.4;703;45.15;94.802;0.129;0.316;0.7386;914.66;4.058.887;982.702;1.439.814;1134.68;2685.64;2057.09;3769.45
27/01/2015;17.22;0.7639;1.503;19.705;16.472;1292.34;688;46.23;94.022;0.123;0.3085;0.733;905.54;4.018.399;971.688;1.423.678;1115.98;2641.39;2029.55;3718.99
28/01/2015;20.44;0.7225;14.078;1.862;15.995;1284.49;666;44.45;94.467;0.121;0.273;0.6794;889.06;3.945.854;963.495;1.411.839;1105.69;2617.13;2002.16;3669.1
29/01/2015;18.76;0.7455;14.345;18.886;1.631;1257.27;632;44.53;94.782;0.141;0.317;0.7375;896.94;3.980.959;973.509;1.426.581;1116.91;2643.95;2021.25;3704.35
